L: x=0.572 y=0.559 | R: x=0.497 y=0.534 | RAW: x=0.534 y=0.546 | NORM: x=0.614 y=0.654
L: x=0.475 y=0.605 | R: x=0.392 y=0.573 | RAW: x=0.434 y=0.589 | NORM: x=0.279 y=0.796
L: x=0.550 y=0.589 | R: x=0.439 y=0.593 | RAW: x=0.495 y=0.591 | NORM: x=0.482 y=0.804
L: x=0.554 y=0.600 | R: x=0.444 y=0.593 | RAW: x=0.499 y=0.596 | NORM: x=0.496 y=0.821
L: x=0.561 y=0.872 | R: x=0.428 y=0.843 | RAW: x=0.494 y=0.857 | NORM: x=0.481 y=1.000
L: x=0.551 y=0.674 | R: x=0.414 y=0.645 | RAW: x=0.482 y=0.659 | NORM: x=0.441 y=1.000
L: x=0.550 y=0.509 | R: x=0.489 y=0.491 | RAW: x=0.520 y=0.500 | NORM: x=0.387 y=0.313
L: x=0.559 y=0.629 | R: x=0.463 y=0.627 | RAW: x=0.511 y=0.628 | NORM: x=0.355 y=0.797
L: x=0.571 y=0.633 | R: x=0.501 y=0.612 | RAW: x=0.536 y=0.622 | NORM: x=0.450 y=0.775
L: x=0.509 y=0.559 | R: x=0.439 y=0.545 | RAW: x=0.474 y=0.552 | NORM: x=0.216 y=0.509
L: x=0.479 y=0.565 | R: x=0.401 y=0.553 | RAW: x=0.440 y=0.559 | NORM: x=0.088 y=0.535
L: x=0.595 y=0.625 | R: x=0.527 y=0.609 | RAW: x=0.561 y=0.617 | NORM: x=0.542 y=0.756
